video_id,youtube_id,video_file,segment_id,start,end,caption
v_bQ3yPbCICRg,bQ3yPbCICRg,bQ3yPbCICRg.mp4,0,0.0,2.31,A man is seen bending over a bang in the middle of drummers.
v_bQ3yPbCICRg,bQ3yPbCICRg,bQ3yPbCICRg.mp4,1,2.2,8.13, The people hit the drums continuously while the camera pans around.
v_bQ3yPbCICRg,bQ3yPbCICRg,bQ3yPbCICRg.mp4,2,7.77,10.18, The men drum while the camera pans around them.
v_4R5KDUqBPcU,4R5KDUqBPcU,4R5KDUqBPcU.mp4,0,1.95,5.79,There's a man wearing a black athletic suit in a shot put field practicing shot put.
v_4R5KDUqBPcU,4R5KDUqBPcU,4R5KDUqBPcU.mp4,1,5.79,8.81, He begins by taking the ball in his hand and holding it against his neck.
v_4R5KDUqBPcU,4R5KDUqBPcU,4R5KDUqBPcU.mp4,2,8.81,9.68, Then he spins around and throws the ball far ahead.
v_6KG4p_pfMQc,6KG4p_pfMQc,6KG4p_pfMQc.mp4,0,0.0,12.26,man wearing a red shirt is standing in a large green field behind kids.
v_6KG4p_pfMQc,6KG4p_pfMQc,6KG4p_pfMQc.mp4,1,3.31,8.71, little blonde kid throw a ball and a kid kicks the ball in the field.
v_6KG4p_pfMQc,6KG4p_pfMQc,6KG4p_pfMQc.mp4,2,8.71,12.26, kisd are running in the field to catch th ball.
v_uwGcEaW3z3Q,uwGcEaW3z3Q,uwGcEaW3z3Q.mp4,0,0.0,1.82,A man is trying to lift weights in a gym.
v_uwGcEaW3z3Q,uwGcEaW3z3Q,uwGcEaW3z3Q.mp4,1,2.55,8.86, He lifts the barbell up to his chest.
v_uwGcEaW3z3Q,uwGcEaW3z3Q,uwGcEaW3z3Q.mp4,2,9.37,11.36, He then lifts it over his head before dropping it to the ground.
v_sVk-Br0zfkA,sVk-Br0zfkA,sVk-Br0zfkA.mp4,0,0.15,2.66,A close up of a woman is seen looking off into the distance and holding a dart.
v_sVk-Br0zfkA,sVk-Br0zfkA,sVk-Br0zfkA.mp4,1,2.21,7.84, She throws the dart onto the board which is show up close.
v_sVk-Br0zfkA,sVk-Br0zfkA,sVk-Br0zfkA.mp4,2,7.39,9.65, The woman then clenches her fists and her throw is shown again.
v_9uZoTZsTwv0,9uZoTZsTwv0,9uZoTZsTwv0.mp4,0,0.0,1.65,A teenage boy on a horse spinning a rope in the air chases after a little cow.
v_9uZoTZsTwv0,9uZoTZsTwv0,9uZoTZsTwv0.mp4,1,1.6,3.71, The cow is running and the boy throws the rope around its neck.
v_9uZoTZsTwv0,9uZoTZsTwv0,9uZoTZsTwv0.mp4,2,3.76,7.41, It causes the cow to fall over after being pulled back by the rope.
v_9uZoTZsTwv0,9uZoTZsTwv0,9uZoTZsTwv0.mp4,3,7.41,11.4, The boy goes running off the horse after it and pins the little cow down.
v_GZsplhHXQy0,GZsplhHXQy0,GZsplhHXQy0.mp4,0,0.06,10.92,A man performs a kettle throw in front of an outdoor stadium filled with spectators in the audience.
v_GZsplhHXQy0,GZsplhHXQy0,GZsplhHXQy0.mp4,1,0.66,5.85,  A man on a round dirt area on a field swings a ball around and around while standing in place.
v_GZsplhHXQy0,GZsplhHXQy0,GZsplhHXQy0.mp4,2,6.4,8.05,"  The man lets the ball go, where it flies in the air ahead of him."
v_GZsplhHXQy0,GZsplhHXQy0,GZsplhHXQy0.mp4,3,8.6,10.81,  The man stops and bends with his knees as he watches the ball fly in the air.
v_28GYivx4lyk,28GYivx4lyk,28GYivx4lyk.mp4,0,0.0,11.05,We see two people playing foosball.
v_28GYivx4lyk,28GYivx4lyk,28GYivx4lyk.mp4,1,0.0,3.59, A man in a black shirt leave the room and turns before leaving.
v_28GYivx4lyk,28GYivx4lyk,28GYivx4lyk.mp4,2,9.34,11.05, A man puts his face in front of the camera.
v_W0RYvQUUNe0,W0RYvQUUNe0,W0RYvQUUNe0.mp4,0,0.0,11.58,The person is parasailing the water.
v_W0RYvQUUNe0,W0RYvQUUNe0,W0RYvQUUNe0.mp4,1,1.27,3.42," As the person sail, he started to bounce on the water."
v_W0RYvQUUNe0,W0RYvQUUNe0,W0RYvQUUNe0.mp4,2,2.95,11.58, The person maneuver the sail to turn around.
v_H2-rEH9TXR4,H2-rEH9TXR4,H2-rEH9TXR4.mp4,0,0.0,1.76,A woman in blue shorts hands a man a dart.
v_H2-rEH9TXR4,H2-rEH9TXR4,H2-rEH9TXR4.mp4,1,1.81,5.73, A man in a white hat throws a dart at a board.
v_H2-rEH9TXR4,H2-rEH9TXR4,H2-rEH9TXR4.mp4,2,5.68,10.0, The woman walks up to the board.
v_fGDVlbI90pw,fGDVlbI90pw,fGDVlbI90pw.mp4,0,1.2,8.99,A young girl wearing a gray sweater with long red colored hair is brushing her hair.
v_fGDVlbI90pw,fGDVlbI90pw,fGDVlbI90pw.mp4,1,8.99,10.62, She is using a silver paddle brush to remove the knots from her hair and de-tangle it as she brushes it through.
v_fGDVlbI90pw,fGDVlbI90pw,fGDVlbI90pw.mp4,2,10.62,10.89, She suddenly begins to scream as she brushes her hair.
v_OJJMEEsOdPQ,OJJMEEsOdPQ,OJJMEEsOdPQ.mp4,0,0.0,11.26,girl us hanging from a pole in a roofed gym and make a jump to the land pool.
v_OJJMEEsOdPQ,OJJMEEsOdPQ,OJJMEEsOdPQ.mp4,1,0.0,12.38, woman wwearing a red shirt is standing in front of the pole.
v_OJJMEEsOdPQ,OJJMEEsOdPQ,OJJMEEsOdPQ.mp4,2,0.0,6.87, little girl is walking in front of he girl doing gymnastics.
v_ZNsX4KYJlVQ,ZNsX4KYJlVQ,ZNsX4KYJlVQ.mp4,0,0.21,1.58,A boy is standing at the counter facing backwards from the dart board.
v_ZNsX4KYJlVQ,ZNsX4KYJlVQ,ZNsX4KYJlVQ.mp4,1,1.53,3.49, His mom is standing beside him and he is getting ready to throw his dart.
v_ZNsX4KYJlVQ,ZNsX4KYJlVQ,ZNsX4KYJlVQ.mp4,2,3.43,6.55, He throws it and completely misses the dart board all together.
v_ZNsX4KYJlVQ,ZNsX4KYJlVQ,ZNsX4KYJlVQ.mp4,3,6.5,10.57, He hits the top of the wall and he goes over to reach for it and take it out.
v_Ufki4AjZHFI,Ufki4AjZHFI,Ufki4AjZHFI.mp4,0,0.0,11.21,A young man is shown on a road wearing stilts.
v_Ufki4AjZHFI,Ufki4AjZHFI,Ufki4AjZHFI.mp4,1,0.0,1.64, He walks over to the side of the road.
v_Ufki4AjZHFI,Ufki4AjZHFI,Ufki4AjZHFI.mp4,2,1.83,9.62, He then lifts his feet up and down as if in preparation of running.
v_Ufki4AjZHFI,Ufki4AjZHFI,Ufki4AjZHFI.mp4,3,10.66,12.18, The video ends as the person recording tilts the camera and covers the lens.
v_kTStFRAp99E,kTStFRAp99E,kTStFRAp99E.mp4,0,0.0,2.04,We see two girls one sitting the other bending over.
v_kTStFRAp99E,kTStFRAp99E,kTStFRAp99E.mp4,1,1.99,3.49, The bending girl stands up.
v_kTStFRAp99E,kTStFRAp99E,kTStFRAp99E.mp4,2,3.49,10.75, We see a person painting the sitting girls toe nails.
v_PPXrVuZAb74,PPXrVuZAb74,PPXrVuZAb74.mp4,0,0.0,3.48,A woman is closing her eyes standing on a diving board.
v_PPXrVuZAb74,PPXrVuZAb74,PPXrVuZAb74.mp4,1,3.43,7.46, She does a flip and dives into the water.
v_PPXrVuZAb74,PPXrVuZAb74,PPXrVuZAb74.mp4,2,7.66,10.08, She swims to the surface.
v_a42c_maArv4,a42c_maArv4,a42c_maArv4.mp4,0,0.0,3.21,The camera shakes on an image of an indoor volleyball court.
v_a42c_maArv4,a42c_maArv4,a42c_maArv4.mp4,1,3.27,6.21, A woman races back from the net to hit the incoming volleyball.
v_a42c_maArv4,a42c_maArv4,a42c_maArv4.mp4,2,6.26,10.89, A fellow team member also hits the ball and sends it across the net.
v_zqXJkZgKmSk,zqXJkZgKmSk,zqXJkZgKmSk.mp4,0,0.0,2.56,A ball flies through he air on a baseball field.
v_zqXJkZgKmSk,zqXJkZgKmSk,zqXJkZgKmSk.mp4,1,1.93,5.8, The person with the camera takes off running.
v_zqXJkZgKmSk,zqXJkZgKmSk,zqXJkZgKmSk.mp4,2,5.9,7.42, The runner stops on the home base and turns around.
v_zqXJkZgKmSk,zqXJkZgKmSk,zqXJkZgKmSk.mp4,3,7.47,10.45, We see the people at the back of the field.
v_3nvVkcxxaJ4,3nvVkcxxaJ4,3nvVkcxxaJ4.mp4,0,0.0,10.96,A man in black is sitting and playing at a piano while a man in red is standing near drums.
v_3nvVkcxxaJ4,3nvVkcxxaJ4,3nvVkcxxaJ4.mp4,1,3.34,9.48," As the man in black plays, the man in red is rolling up a wire."
v_3nvVkcxxaJ4,3nvVkcxxaJ4,3nvVkcxxaJ4.mp4,2,4.93,9.26, The man in red begins bobbing his head to the beat of the piano music.
v_3nvVkcxxaJ4,3nvVkcxxaJ4,3nvVkcxxaJ4.mp4,3,8.93,10.96, The man then places the wire down.
v_2ErgL7-MXHw,2ErgL7-MXHw,2ErgL7-MXHw.mp4,0,0.0,0.33,Two men stands on front a tall hedge holding trimmers.
v_2ErgL7-MXHw,2ErgL7-MXHw,2ErgL7-MXHw.mp4,1,0.33,10.98, The men cuts the top of the hedge.
v_2ErgL7-MXHw,2ErgL7-MXHw,2ErgL7-MXHw.mp4,2,8.43,10.59, Leaves falls from the top of the hedge.
v_yKdvz5dgro4,yKdvz5dgro4,yKdvz5dgro4.mp4,0,0.69,10.54,A young man dry a pot lid while dancing.
v_yKdvz5dgro4,yKdvz5dgro4,yKdvz5dgro4.mp4,1,0.0,10.54," Also, a teen wash a cup of steel and dancing."
v_yKdvz5dgro4,yKdvz5dgro4,yKdvz5dgro4.mp4,2,0.42,3.85, A woman enters and then leave the kitchen.
v_jIYRVlrXJgc,jIYRVlrXJgc,jIYRVlrXJgc.mp4,0,0.0,9.83,Two players are playing a game of racket ball.
v_jIYRVlrXJgc,jIYRVlrXJgc,jIYRVlrXJgc.mp4,1,1.71,2.91, One female takes a swing at the ball and hits it.
v_jIYRVlrXJgc,jIYRVlrXJgc,jIYRVlrXJgc.mp4,2,3.06,4.66, The other female takes a swing at the ball and misses and hits herself instead.
v_jIYRVlrXJgc,jIYRVlrXJgc,jIYRVlrXJgc.mp4,3,4.36,10.03, She then sits down on the floor while the other person comes to turn the camera off.
v_vMYPNyBR3d0,vMYPNyBR3d0,vMYPNyBR3d0.mp4,0,0.0,12.19,We see three men on a boat in a lake.
v_vMYPNyBR3d0,vMYPNyBR3d0,vMYPNyBR3d0.mp4,1,8.05,11.4, The left man holds his nears near his chest.
v_vMYPNyBR3d0,vMYPNyBR3d0,vMYPNyBR3d0.mp4,2,9.02,12.19, A man acts weird and sprays himself.
v_5BVcwR8hEo0,5BVcwR8hEo0,5BVcwR8hEo0.mp4,0,0.0,0.24,A boy serves a tennis ball.
v_5BVcwR8hEo0,5BVcwR8hEo0,5BVcwR8hEo0.mp4,1,0.42,10.03, He then serves two more.
v_5BVcwR8hEo0,5BVcwR8hEo0,5BVcwR8hEo0.mp4,2,10.5,11.94, The boy turns and walks away.
v_vbWdGj1sfO8,vbWdGj1sfO8,vbWdGj1sfO8.mp4,0,0.0,2.1,A female is laying on her back exercising inside of a gym.
v_vbWdGj1sfO8,vbWdGj1sfO8,vbWdGj1sfO8.mp4,1,2.1,4.15, She is wearing black and pink and just looks very comfortable while she works out.
v_vbWdGj1sfO8,vbWdGj1sfO8,vbWdGj1sfO8.mp4,2,4.1,7.14, She brings her arms up and her legs up to the center of her body.
v_vbWdGj1sfO8,vbWdGj1sfO8,vbWdGj1sfO8.mp4,3,7.14,11.08, She does that repeatedly for a little while.
v_UCndppz9rWc,UCndppz9rWc,UCndppz9rWc.mp4,0,0.0,11.52,manis wearing a white shirt and is walking in a green grass carrying a lawnmower.
v_UCndppz9rWc,UCndppz9rWc,UCndppz9rWc.mp4,1,0.0,4.2,  kid is standing in the field watching the man with the lawnmower.
v_UCndppz9rWc,UCndppz9rWc,UCndppz9rWc.mp4,2,0.0,3.69, man stands and extends the hand to hold the kid.
v_ztnt2EYuK3I,ztnt2EYuK3I,ztnt2EYuK3I.mp4,0,0.0,12.33,A person in a black coat is scraping ice off of a window.
v_ztnt2EYuK3I,ztnt2EYuK3I,ztnt2EYuK3I.mp4,1,4.93,11.34, A kid in a yellow coat is smiling at the camera.
v_ztnt2EYuK3I,ztnt2EYuK3I,ztnt2EYuK3I.mp4,2,11.1,12.33, A boy in a green jacket is scraping the ice off of another car.
v_MAZlsi4Bon8,MAZlsi4Bon8,MAZlsi4Bon8.mp4,0,0.0,10.61,A young boy is at a party holding a stick and hitting a pinata.
v_MAZlsi4Bon8,MAZlsi4Bon8,MAZlsi4Bon8.mp4,1,8.86,10.61, When the boy is done hitting it an adult walks towards the pinata.
v_MAZlsi4Bon8,MAZlsi4Bon8,MAZlsi4Bon8.mp4,2,9.76,10.61, Another child standing with the adult also begins walking towards the pinata.
v_cKFARm4dsws,cKFARm4dsws,cKFARm4dsws.mp4,0,0.0,1.17,A little boy is getting on the swinging closing his little safety guard.
v_cKFARm4dsws,cKFARm4dsws,cKFARm4dsws.mp4,1,1.11,3.67, He closes it and builds up some momentum to start going fast.
v_cKFARm4dsws,cKFARm4dsws,cKFARm4dsws.mp4,2,3.67,6.84, He kicks his feet back and forth getting pretty high.
v_cKFARm4dsws,cKFARm4dsws,cKFARm4dsws.mp4,3,6.84,11.12, He just enjoys his time swinging back and forth outside enjoying the day.
v_KVmuW9kwZV4,KVmuW9kwZV4,KVmuW9kwZV4.mp4,0,0.0,2.0,A man at his dish washing job has a very unique way to do his dishes at a very fast speed.
v_KVmuW9kwZV4,KVmuW9kwZV4,KVmuW9kwZV4.mp4,1,2.0,5.05, He throws all the plates one by one very fast.
v_KVmuW9kwZV4,KVmuW9kwZV4,KVmuW9kwZV4.mp4,2,5.49,8.04," They all land into the sink on top of each other after he wipes them down, some of them fall out a bit."
v_KVmuW9kwZV4,KVmuW9kwZV4,KVmuW9kwZV4.mp4,3,8.42,12.35, The he pushes them all down into the water.
v_4U13LEMIdi4,4U13LEMIdi4,4U13LEMIdi4.mp4,0,0.0,12.15,A cat is sitting in a cat bed.
v_4U13LEMIdi4,4U13LEMIdi4,4U13LEMIdi4.mp4,1,0.55,10.38, It is licking its paw.
v_4U13LEMIdi4,4U13LEMIdi4,4U13LEMIdi4.mp4,2,10.44,12.15, It then wipes its paw on its ear.
v_dvzwVrZkDiI,dvzwVrZkDiI,dvzwVrZkDiI.mp4,0,0.11,2.58,A small child is seen looking up at the camera holding a coffee cup.
v_dvzwVrZkDiI,dvzwVrZkDiI,dvzwVrZkDiI.mp4,1,2.47,7.96, The girl takes a drink out of the cup and puts it back down.
v_dvzwVrZkDiI,dvzwVrZkDiI,dvzwVrZkDiI.mp4,2,7.03,10.49, She continues drinking out of the container and looks up to the camera.
v_arTumJHoLB0,arTumJHoLB0,arTumJHoLB0.mp4,0,0.0,2.93,A young man is seen looking off into the distance with lotion on his face.
v_arTumJHoLB0,arTumJHoLB0,arTumJHoLB0.mp4,1,2.69,9.77, He continues rubbing the lotion in while looking away from the camera.
v_arTumJHoLB0,arTumJHoLB0,arTumJHoLB0.mp4,2,9.83,11.73, He finishes putting in the sunscreen and looking away from the camera.
